-5.50E-02	1.96E-02	5.00E-03	0.31	0.31	0.62
-5.57E-02	2.08E-02	5.00E-03	0.31	0.31	0.62
-5.63E-02	2.20E-02	5.00E-03	0.31	0.31	0.62
-5.70E-02	2.32E-02	5.00E-03	0.31	0.31	0.62
-5.77E-02	2.44E-02	5.00E-03	0.31	0.31	0.62
-5.83E-02	2.56E-02	5.00E-03	0.31	0.31	0.62
-5.90E-02	2.68E-02	5.00E-03	0.31	0.31	0.62
-5.97E-02	2.80E-02	5.00E-03	0.31	0.31	0.62
-4.37E-02	5.95E-04	5.00E-03	0.31	0.31	0.62
-4.43E-02	1.79E-03	5.00E-03	0.31	0.31	0.62
-4.50E-02	2.98E-03	5.00E-03	0.31	0.31	0.62
-4.57E-02	4.17E-03	5.00E-03	0.31	0.31	0.62
-4.63E-02	5.36E-03	5.00E-03	0.31	0.31	0.62
-4.70E-02	6.55E-03	5.00E-03	0.31	0.31	0.62
-4.77E-02	7.74E-03	5.00E-03	0.31	0.31	0.62
-4.83E-02	8.93E-03	5.00E-03	0.31	0.31	0.62
-4.90E-02	1.01E-02	5.00E-03	0.31	0.31	0.62
-4.97E-02	1.13E-02	5.00E-03	0.31	0.31	0.62
-5.03E-02	1.25E-02	5.00E-03	0.31	0.31	0.62
-5.10E-02	1.37E-02	5.00E-03	0.31	0.31	0.62
-5.17E-02	1.49E-02	5.00E-03	0.31	0.31	0.62
-5.23E-02	1.61E-02	5.00E-03	0.31	0.31	0.62
-5.30E-02	1.73E-02	5.00E-03	0.31	0.31	0.62
-5.37E-02	1.85E-02	5.00E-03	0.31	0.31	0.62
-5.43E-02	1.96E-02	5.00E-03	0.31	0.31	0.62
-5.50E-02	2.08E-02	5.00E-03	0.31	0.31	0.62
-5.57E-02	2.20E-02	5.00E-03	0.31	0.31	0.62
-5.63E-02	2.32E-02	5.00E-03	0.31	0.31	0.62
-5.70E-02	2.44E-02	5.00E-03	0.31	0.31	0.62
-5.77E-02	2.56E-02	5.00E-03	0.31	0.31	0.62
-5.83E-02	2.68E-02	5.00E-03	0.31	0.31	0.62
